prompt_hash	spirit_id	source	tier	text
7dbdac13	46	canonical	tier-paraphrase	Bifrons Bifrons. He teacheth the Virtues of Precious Stones and Woods.
eaf456a5	47	canonical	tier-paraphrase	Uvall. (47.) Uvall , Vual , or Voval .—The Forty-seventh Spirit is Uvall, or Vual, or Voval. He is a Duke, Great, Mighty, and Strong; and appeareth in the Form of a Mighty Dromedary at the first, but after a while at the Command of the Exorcist he putteth on Human Shape, and speaketh the Egyptian Tongue, but not perfectly. [23] His Office is to procure the Love of Woman, and to tell Things Past, Present, and to Come. He also procureth Friendship between Friends and Foes. He was of the Order of Potestates or Powers. He governeth 37 Legions of Spirits, and his Seal is this, to be made and worn before thee, etc.
765467fd	47	canonical	tier-paraphrase	Uvall Uvall Vual Voval. [23] His Office is to procure the Love of Woman, and to tell Things Past, Present, and to Come.
76ff3567	48	canonical	tier-paraphrase	Haagenti. (48.) Haagenti. —The Forty-eighth Spirit is Haagenti. He is a President, appearing in the Form of a Mighty Bull with Gryphon’s Wings. This is at first, but after, at the Command of the Exorcist he putteth on Human Shape. His Office is to make Men wise, and to instruct them in divers things; also to Transmute all Metals into Gold; and to change Wine into Water, and Water into Wine. He governeth 33 Legions of Spirits, and his Seal is this, etc.
6aeee2c3	48	canonical	tier-paraphrase	Haagenti Haagenti. His Office is to make Men wise, and to instruct them in divers things
8f9fc23d	49	canonical	tier-paraphrase	Crocell. (49.) Crocell. —The Forty-ninth Spirit is Crocell, or Crokel. He appeareth in the Form of an Angel. He is a Duke Great and Strong, speaking something Mystically of Hidden Things. He teacheth the Art of Geometry and the Liberal Sciences. He, at the Command of the Exorcist, will produce Great Noises like the Rushings of many Waters, although there be none. He warmeth Waters, and discovereth Baths. He was of the Order of Potestates, or Powers, before his fall, as he declared unto the King Solomon. He governeth 48 Legions of Spirits. His Seal is this, the which wear thou as aforesaid.
6e88dfe3	49	canonical	tier-paraphrase	Crocell Crocell. He warmeth Waters, and discovereth Baths.
1ab32a23	50	canonical	tier-paraphrase	Furcas. (50.) Furcas. —The Fiftieth Spirit is Furcas. He is a Knight, and appeareth in the Form of a Cruel Old Man with a long Beard and a hoary Head, riding upon a pale-coloured Horse, with a Sharp Weapon in his hand. His Office is to teach the Arts of Philosophy, Astrology, Rhetoric, Logic, Cheiromancy, and Pyromancy, in all their parts, and perfectly. He hath under his Power 20 Legions of Spirits. His Seal, or Mark, is thus made, etc.
e2be7fb3	50	canonical	tier-paraphrase	Furcas Furcas. His Office is to teach the Arts of Philosophy, Astrology, Rhetoric, Logic, Cheiromancy, and Pyromancy, in all their parts, and perfectly.
8621616b	51	canonical	tier-paraphrase	Balam. (51.) Balam. —The Fifty-first Spirit is Balam or Balaam. He is a Terrible, Great, and Powerful King. He appeareth with three Heads: the first is like that of a Bull; the second is like that of a Man; the third is like that of a Ram. He hath the Tail of a Serpent, and Flaming Eyes. He rideth upon a furious Bear, and carrieth a Boshawk upon his Fist. He speaketh with a hoarse Voice, giving True Answers of Things Past, Present, and to Come. He maketh men to go Invisible, and also to be Witty. He governeth 40 Legions of Spirits. His Seal is this, etc.
ecdfc7a7	51	canonical	tier-paraphrase	Balam Balam. He maketh men to go Invisible, and also to be Witty.
2db5d961	52	canonical	tier-paraphrase	Alloces. (52.) Alloces. —The Fifty-second Spirit is Alloces, or Alocas. He is a Duke, Great, Mighty, and Strong, appearing in the Form of a Soldier [24] riding upon a Great Horse. His Face is like that of a Lion, very Red, and having Flaming Eyes. His Speech is hoarse and very big. [25] His Office is to teach the Art of Astronomy, and all the Liberal Sciences. He bringeth unto thee Good Familiars; also he ruleth over 36 Legions of Spirits. His Seal is this, which, etc.
bb57855d	52	canonical	tier-paraphrase	Alloces Alloces. He bringeth unto thee Good Familiars
95dcd0a3	53	canonical	tier-paraphrase	Camio. (53.) Camio or Caim .—The Fifty-third Spirit is Camio, or Caim. He is a Great President, and appeareth in the Form of the Bird called a Thrush at first, but afterwards he putteth on the Shape of a Man carrying in his Hand a Sharp Sword. He seemeth to answer in Burning Ashes, or in Coals of Fire. He is a Good Disputer. His Office is to give unto Men the Understanding of all Birds, Lowing of Bullocks, Barking of Dogs, and other Creatures; and also of the Voice of the Waters. He giveth True Answers of Things to Come. He was of the Order of Angels, but now ruleth over 30 Legions of Spirits Infernal. His Seal is this, which wear thou, etc.
d9cf4adf	53	canonical	tier-paraphrase	Camio Camio Caim. He giveth True Answers of Things to Come.
1592faa5	54	canonical	tier-paraphrase	Murmur. (54.) Murmur , or Murmus .—The Fifty-fourth Spirit is called Murmur, or Murmus, or Murmux. He is a Great Duke, and an Earl; and appeareth in the Form of a Warrior riding upon a Gryphon, with a Ducal Crown upon his Head. There do go before him those his Ministers with great Trumpets sounding. His Office is to teach Philosophy perfectly, and to constrain Souls Deceased to come before the Exorcist to answer those questions which he may wish to put to them, if desired. He was partly of the Order of Thrones, and partly of that of Angels. He now ruleth 30 Legions of Spirits. And his Seal is this, etc.
fbbfd9b7	54	canonical	tier-paraphrase	Murmur Murmur Murmus. His Office is to teach Philosophy perfectly, and to constrain Souls Deceased to come before the Exorcist to answer those questions which he may wish to put to them, if desired.
7871b337	55	canonical	tier-paraphrase	Orobas. (55.) Orobas. —The Fifty-fifth Spirit is Orobas. He is a great and Mighty Prince, appearing at first like a Horse; but after the command of the Exorcist he putteth on the Image of a Man. His Office is to discover all things Past, Present, and to Come; also to give Dignities, and Prelacies, and the Favour of Friends and of Foes. He giveth True Answers of Divinity, and of the Creation of the World. He is very faithful unto the Exorcist, and will not suffer him to be tempted of any Spirit. He governeth 20 Legions of Spirits. His Seal is this, etc.
a1202f77	55	canonical	tier-paraphrase	Orobas Orobas. His Office is to discover all things Past, Present, and to Come
0f690ba5	56	canonical	tier-paraphrase	Gremory. (56.) Gremory , or Gamori .—The Fifty-sixth Spirit is Gremory, or Gamori. He is a Duke Strong and Powerful, and appeareth in the Form of a Beautiful Woman, with a Duchess’s Crown tied about her waist, and riding on a Great Camel. His Office is to tell of all Things Past, Present, and to Come; and of Treasures Hid, and what they lie in; and to procure the Love of Women both Young and Old. He governeth 26 Legions of Spirits, and his Seal is this, etc.
08ef30f7	56	canonical	tier-paraphrase	Gremory Gremory Gamori. His Office is to tell of all Things Past, Present, and to Come
fc464273	57	canonical	tier-paraphrase	Osé. (57.) Osé , or Voso .—The Fifty-seventh Spirit is Oso, Osé, or Voso. He is a Great President, and appeareth like a Leopard at the first, but after a little time he putteth on the Shape of a Man. His Office is to make one cunning in the Liberal Sciences, and to give True Answers of Divine and Secret Things; also to change a Man into any Shape that the Exorcist pleaseth, so that he that is so changed will not think any other thing than that he is in verity that Creature or Thing he is changed into. He governeth 30 [26] Legions of Spirits, and this is his Seal, etc.
9072a7f9	57	canonical	tier-paraphrase	Osé Osé Voso. His Office is to make one cunning in the Liberal Sciences, and to give True Answers of Divine and Secret Things
d5bfbf33	58	canonical	tier-paraphrase	Amy. (58.) Amy , or Avnas .—The Fifty-eighth Spirit is Amy, or Avnas. He is a Great President, and appeareth at first in the Form of a Flaming Fire; but after a while he putteth on the Shape of a Man. His office is to make one Wonderful Knowing [27] in Astrology and all the Liberal Sciences. He giveth Good Familiars, and can bewray Treasure that is kept by Spirits. He governeth 36 Legions of Spirits, and his Seal is this, etc.
c75eba0d	58	canonical	tier-paraphrase	Amy Amy Avnas. He giveth Good Familiars, and can bewray Treasure that is kept by Spirits.
4b891c15	59	canonical	tier-paraphrase	Oriax. (59.) Oriax , or Orias .—The Fifty-ninth Spirit is Oriax, or Orias. He is a Great Marquis, and appeareth in the Form of a Lion, [28] riding upon a Horse Mighty and Strong, with a Serpent’s Tail; [29] and he holdeth in his Right Hand two Great Serpents hissing. His Office is to teach the Virtues of the Stars, and to know the Mansions of the Planets, and how to understand their Virtues. He also transformeth Men, and he giveth Dignities, Prelacies, and Confirmation thereof; also Favour with Friends and with Foes. He doth govern 30 Legions of Spirits; and his Seal is this, etc.
3c883015	59	canonical	tier-paraphrase	Oriax Oriax Orias. He also transformeth Men, and he giveth Dignities, Prelacies, and Confirmation thereof
9de76105	60	canonical	tier-paraphrase	Vapula. (60.) Vapula , or Naphula .—The Sixtieth Spirit is Vapula, or Naphula. He is a Duke Great, Mighty, and Strong; appearing in the Form of a Lion with Gryphon’s Wings. His Office is to make Men Knowing in all Handcrafts and Professions, also in Philosophy, and other Sciences. He governeth 36 Legions of Spirits, and his Seal or Character is thus made, and thou shalt wear it as aforesaid, etc.
d32d2953	60	canonical	tier-paraphrase	Vapula Vapula Naphula. His Office is to make Men Knowing in all Handcrafts and Professions, also in Philosophy, and other Sciences.
95341a77	61	canonical	tier-paraphrase	Zagan. (61.) Zagan. —The Sixty-first Spirit is Zagan. He is a Great King and President, appearing at first in the Form of a Bull with Gryphon’s Wings; but after a while he putteth on Human Shape. He maketh Men Witty. He can turn Wine into Water, and Blood into Wine, also Water into Wine. He can turn all Metals into Coin of the Dominion that Metal is of. He can even make Fools wise. He governeth 33 Legions of Spirits, and his Seal is this, etc.
09ed3f0d	61	canonical	tier-paraphrase	Zagan Zagan. Zagan has an office described in the Goetia
db93fcb5	62	canonical	tier-paraphrase	Volac. (62.) Volac , or Valak , or Valu , or Ualac .—The Sixty-second Spirit is Volac, or Valak, or Valu. He is a President Mighty and Great, and appeareth like a Child with Angel’s Wings, riding on a Two-headed Dragon. His Office is to give True Answers of Hidden Treasures, and to tell where Serpents may be seen. The which he will bring unto the Exorciser without any Force or Strength being by him employed. He governeth 38 Legions of Spirits, and his Seal is thus.
2db8da4d	62	canonical	tier-paraphrase	Volac Volac Valak Valu Ualac. His Office is to give True Answers of Hidden Treasures, and to tell where Serpents may be seen.
2b99295f	63	canonical	tier-paraphrase	Andras. (63.) Andras. —The Sixty-third Spirit is Andras. He is a Great Marquis, appearing in the Form of an Angel with a Head like a Black Night Raven, riding upon a strong Black Wolf, and having a Sharp and Bright Sword flourished aloft in his hand. His Office is to sow Discords. If the Exorcist have not a care, he will slay both him and his fellows. He governeth 30 Legions of Spirits, and this is his Seal, etc.
bea82ebf	63	canonical	tier-paraphrase	Andras Andras. His Office is to sow Discords.
37f8ff67	64	canonical	tier-paraphrase	Haures. (64.) Haures , or Hauras , or Havres , or Flauros .—The Sixty-fourth Spirit is Haures, or Hauras, or Havres, or Flauros. He is a Great Duke, and appeareth at first like a Leopard, Mighty, Terrible, and Strong, but after a while, at the Command of the Exorcist, he putteth on Human Shape with Eyes Flaming and Fiery, and a most Terrible Countenance. He giveth True Answers of all things, Present, Past, and to Come. But if he be not commanded into a Triangle, △, he will Lie in all these Things, and deceive and beguile the Exorcist in these things, or in such and such business. He will, lastly, talk of the Creation of the World, and of Divinity, and of how he and other Spirits fell. He destroyeth and burneth up those who be the Enemies of the Exorcist should he so desire it; also he will not suffer him to be tempted by any other Spirit or otherwise. He governeth 36 Legions of Spirits, and his Seal is this, to be worn as a Lamen, etc.
4a05f3b9	64	canonical	tier-paraphrase	Haures Haures Hauras Havres Flauros. He giveth True Answers of all things, Present, Past, and to Come.
79e94969	65	canonical	tier-paraphrase	Andrealphus. (65.) Andrealphus. —The Sixty-fifth Spirit is Andrealphus. He is a Mighty Marquis, appearing at first in the form of a Peacock, with great Noises. But after a time he putteth on Human shape. He can teach Geometry perfectly. He maketh Men very subtle therein; and in all Things pertaining unto Mensuration or Astronomy. He can transform a Man into the Likeness of a Bird. He governeth 30 Legions of Infernal Spirits, and his Seal is this, etc.
f6ad1bff	65	canonical	tier-paraphrase	Andrealphus Andrealphus. He maketh Men very subtle therein
9053488f	66	canonical	tier-paraphrase	Cimejes. (66.) Cimejes , or Cimeies , or Kimaris .—The Sixty-sixth Spirit is Cimejes, or Cimeies, or Kimaris. He is a Marquis, Mighty, Great, Strong and Powerful, appearing like a Valiant Warrior riding upon a goodly Black Horse. He ruleth over all Spirits in the parts of Africa. His Office is to teach perfectly Grammar, Logic, Rhetoric, and to discover things Lost or Hidden, and Treasures. He governeth 20 Legions of Infernals; and his Seal is this, etc.
ac0020f7	66	canonical	tier-paraphrase	Cimejes Cimejes Cimeies Kimaris. His Office is to teach perfectly Grammar, Logic, Rhetoric, and to discover things Lost or Hidden, and Treasures.
0571a771	67	canonical	tier-paraphrase	Amdusias. (67.) Amdusias , or Amdukias .—The Sixty-seventh Spirit is Amdusias, or Amdukias. He is a Duke Great and Strong, appearing at first like a Unicorn, but at the request of the Exorcist he standeth before him in Human Shape, causing Trumpets, and all manner of Musical Instruments to be heard, but not soon or immediately. Also he can cause Trees to bend and incline according to the Exorcist’s Will. He giveth Excellent Familiars. He governeth 29 Legions of Spirits. And his Seal is this, etc.
98ec23af	67	canonical	tier-paraphrase	Amdusias Amdusias Amdukias. He giveth Excellent Familiars.
ef8488f9	68	canonical	tier-paraphrase	Belial. (68.) Belial. —The Sixty-eighth Spirit is Belial. He is a Mighty and a Powerful King, and was created next after Lucifer . He appeareth in the Form of Two Beautiful Angels sitting in a Chariot of Fire. He speaketh with a Comely Voice, and declareth that he fell first from among the worthier sort, that were before Michael, and other Heavenly Angels. His Office is to distribute Presentations and Senatorships, etc.; and to cause favour of Friends and of Foes. He giveth excellent Familiars, and governeth 50 Legions of Spirits. Note well that this King Belial must have Offerings, Sacrifices and Gifts presented unto him by the Exorcist, or else he will not give True Answers unto his Demands. But then he tarrieth not one hour in the Truth, unless he be constrained by Divine Power. And his Seal is this, which is to be worn as aforesaid, etc.
c935a039	68	canonical	tier-paraphrase	Belial Belial. His Office is to distribute Presentations and Senatorships, etc.
54102efb	69	canonical	tier-paraphrase	Decarabia. (69.) Decarabia. —The Sixty-ninth Spirit is Decarabia. He appeareth in the Form of a Star in a Pentacle, at first; but after, at the command of the Exorcist, he putteth on the image of a Man. His Office is to discover the Virtues of Birds and Precious Stones, and to make the Similitude of all kinds of Birds to fly before the Exorcist, singing and drinking as natural Birds do. He governeth 30 Legions of Spirits, being himself a Great Marquis. And this is his Seal, which is to be worn, etc.
a2afe513	69	canonical	tier-paraphrase	Decarabia Decarabia. His Office is to discover the Virtues of Birds and Precious Stones, and to make the Similitude of all kinds of Birds to fly before the Exorcist, singing and drinking as natural Birds do.
caec405d	70	canonical	tier-paraphrase	Seere. (70.) Seere , Sear , or Seir .—The Seventieth Spirit is Seere, Sear, or Seir. He is a Mighty Prince, and Powerful, under Amaymon , King of the East. He appeareth in the Form of a Beautiful Man, riding upon a Winged Horse. His Office is to go and come; and to bring abundance of things to pass on a sudden, and to carry or recarry anything whither thou wouldest have it to go, or whence thou wouldest have it from. He can pass over the whole Earth in the twinkling of an Eye. He giveth a True relation of all sorts of Theft, and of Treasure hid, and of many other things. He is of an indifferent Good Nature, and is willing to do anything which the Exorcist desireth. He governeth 26 Legions of Spirits. And this his Seal is to be worn, etc.
741e7d97	70	canonical	tier-paraphrase	Seere Seere Sear Seir. His Office is to go and come
80e53993	71	canonical	tier-paraphrase	Dantalion. (71.) Dantalion. —The Seventy-first Spirit is Dantalion. He is a Duke Great and Mighty, appearing in the Form of a Man with many Countenances, all Men’s and Women’s Faces; and he hath a Book in his right hand. His Office is to teach all Arts and Sciences unto any; and to declare the Secret Counsel of any one; for he knoweth the Thoughts of all Men and Women, and can change them at his Will. He can cause Love, and show the Similitude of any person, and show the same by a Vision, let them be in what part of the World they Will. He governeth 36 Legions of Spirits; and this is his Seal, which wear thou, etc.
74e90793	71	canonical	tier-paraphrase	Dantalion Dantalion. and to declare the Secret Counsel of any one
1faf133b	72	canonical	tier-paraphrase	Andromalius. (72.) Andromalius. —The Seventy-second Spirit in Order is named Andromalius. He is an Earl, Great and Mighty, appearing in the Form of a Man holding a Great Serpent in his Hand. His Office is to bring back both a Thief, and the Goods which be stolen; and to discover all Wickedness, and Underhand Dealing; and to punish all Thieves and other Wicked People and also to discover Treasures that be Hid. He ruleth over 36 Legions of Spirits. His Seal is this, the which wear thou as aforesaid, etc.
42846b7d	72	canonical	tier-paraphrase	Andromalius Andromalius. and to discover all Wickedness, and Underhand Dealing
